t,v1,v2
0.00001,-7.28,7.28
0.000012,-7.28,7.28
0.000014,-7.2,7.28
0.000016,-7.2,7.36
0.000018,-7.2,7.28
0.00002,-7.2,7.36
0.000022,-7.2,7.36
0.000024,-7.2,7.28
0.000026,-7.28,7.28
0.000028,-7.2,7.28
0.00003,-7.2,7.36
0.000032,-7.2,7.28
0.000034,-7.2,7.28
0.000036,-7.2,7.28
0.000038,-7.2,7.28
0.00004,-7.2,7.28
0.000042,-7.2,7.36
0.000044,-7.28,7.28
0.000046,-7.2,7.28
0.000048,-7.2,7.28
0.00005,-7.2,7.36
0.000052,-7.2,7.28
0.000054,-7.2,7.28
0.000056,-7.2,7.28
0.000058,-7.2,7.28
0.00006,-7.28,7.28
0.000062,-7.2,7.36
0.000064,-7.2,7.28
0.000066,-7.2,7.28
0.000068,-7.28,7.28
0.00007,-7.2,7.28
0.000072,-7.2,7.28
0.000074,-7.2,7.28
0.000076,-7.2,7.28
0.000078,-7.2,7.28
0.00008,-7.2,7.28
0.000082,-7.2,7.28
0.000084,-7.2,7.28
0.000086,-7.2,1.04
0.000088,-7.2,-1.44
0.00009,-7.2,-3.36
0.000092,-7.2,-4.64
0.000094,-7.2,-5.6
0.000096,-7.2,-6.08
0.000098,-7.2,-6.32
0.0001,-7.2,-6.4
0.000102,-4.56,-6.24
0.000104,-3.44,-5.92
0.000106,-2.32,-5.6
0.000108,-1.6,-5.2
0.00011,-0.88,-4.8
0.000112,-0.4,-4.48
0.000114,0.08,-4.16
0.000116,0.48,-3.92
0.000118,0.8,-3.68
0.00012,1.04,-3.44
0.000122,1.28,-3.36
0.000124,1.52,-3.2
0.000126,1.6,-3.12
0.000128,1.68,-3.28
0.00013,1.76,-3.28
0.000132,1.68,-3.36
0.000134,1.6,-3.44
0.000136,1.44,-3.52
0.000138,1.44,-3.68
0.00014,1.28,-3.84
0.000142,1.28,-3.92
0.000144,1.28,-4.08
0.000146,1.28,-4.16
0.000148,1.28,-4.32
0.00015,1.28,-4.4
0.000152,1.2,-4.56
0.000154,1.12,-4.64
0.000156,0.96,-4.64
0.000158,0.96,-4.8
0.00016,0.88,-4.88
0.000162,0.8,-4.96
0.000164,0.8,-4.88
0.000166,0.88,-4.96
0.000168,0.8,-4.96
0.00017,0.88,-5.04
0.000172,0.8,-5.12
0.000174,0.72,-5.2
0.000176,0.72,-5.2
0.000178,0.64,-5.28
0.00018,0.56,-5.2
0.000182,0.48,-5.28
0.000184,0.56,-5.28
0.000186,0.48,-5.2
0.000188,0.56,-5.28
0.00019,0.64,-5.36
0.000192,0.64,-5.36
0.000194,0.64,-5.36
0.000196,0.56,-5.28
0.000198,0.48,-5.36
0.0002,0.48,-5.36
0.000202,0.4,-5.36
0.000204,0.4,-5.44
0.000206,0.4,-5.44
0.000208,0.48,-5.44
0.00021,0.48,-5.44
0.000212,0.48,-5.44
0.000214,0.48,-5.52
0.000216,0.48,-5.52
0.000218,0.32,-5.52
0.00022,0.24,-5.6
0.000222,0.24,-5.6
0.000224,0.08,-5.68
0.000226,0.08,-5.68
0.000228,0.08,-5.68
0.00023,0.08,-5.68
0.000232,0.16,-5.68
0.000234,0.16,-5.68
0.000236,0.16,-5.68
0.000238,0.08,-5.68
0.00024,0.08,-5.68
0.000242,-0.08,-5.68
0.000244,-0.08,-5.76
0.000246,-0.16,-5.76
0.000248,-0.16,-5.76
0.00025,-0.16,-5.84
0.000252,-0.08,-5.84
0.000254,-0.08,-5.84
0.000256,-0.08,-5.84
0.000258,-0.16,-5.84
0.00026,-0.16,-5.92
0.000262,-0.32,-5.92
0.000264,-0.32,-5.92
0.000266,-0.4,-5.92
0.000268,-0.48,-5.92
0.00027,-0.4,-5.84
0.000272,-0.4,-5.84
0.000274,-0.32,-5.92
0.000276,-0.32,-5.92
0.000278,-0.32,-5.92
0.00028,-0.32,-5.92
0.000282,-0.4,-5.92
0.000284,-0.56,-5.92
0.000286,-0.56,-5.92
0.000288,-0.64,-6
0.00029,-0.72,-5.92
0.000292,-0.64,-5.92
0.000294,-0.64,-6
0.000296,-0.64,-6
0.000298,-0.64,-5.92
0.0003,-0.72,-5.92
0.000302,-0.72,-5.92
0.000304,-0.8,-6
0.000306,-0.88,-6
0.000308,-0.96,-6.08
0.00031,-1.04,-6.08
0.000312,-1.04,-6
0.000314,-1.04,-6.08
0.000316,-0.96,-6.08
0.000318,-0.88,-6.08
0.00032,-0.88,-6.08
0.000322,-0.96,-6.08
0.000324,-1.04,-6.08
0.000326,-1.04,-6.08
0.000328,-1.12,-6.08
0.00033,-1.28,-6.08
0.000332,-1.2,-6.08
0.000334,-1.2,-6.08
0.000336,-1.2,-6.08
0.000338,-1.2,-6.08
0.00034,-1.12,-6.16
0.000342,-1.2,-6.16
0.000344,-1.2,-6.16
0.000346,-1.28,-6.16
0.000348,-1.44,-6.16
0.00035,-1.44,-6.24
0.000352,-1.52,-6.16
