t,v1,v2
0.000694,2.48,1.6
0.000696,2.48,1.68
0.000698,2.4,1.72
0.0007,2.44,1.8
0.000702,2.4,1.84
0.000704,2.36,1.88
0.000706,2.32,1.96
0.000708,2.32,2.04
0.00071,2.28,2.08
0.000712,2.24,2.12
0.000714,2.2,2.2
0.000716,2.16,2.28
0.000718,2.08,2.28
0.00072,2.04,2.36
0.000722,1.96,2.36
0.000724,1.92,2.44
0.000726,1.88,2.44
0.000728,1.84,2.52
0.00073,1.8,2.56
0.000732,1.72,2.6
0.000734,1.68,2.64
0.000736,1.64,2.68
0.000738,1.56,2.76
0.00074,1.52,2.76
0.000742,1.48,2.8
0.000744,1.4,2.84
0.000746,1.36,2.92
0.000748,1.32,2.92
0.00075,1.28,2.96
0.000752,1.2,3
0.000754,1.16,3.04
0.000756,1.12,3.08
0.000758,1.04,3.12
0.00076,0.96,3.12
0.000762,0.92,3.12
0.000764,0.84,3.16
0.000766,0.76,3.2
0.000768,0.68,3.2
0.00077,0.64,3.2
0.000772,0.6,3.24
0.000774,0.56,3.24
0.000776,0.48,3.24
0.000778,0.4,3.28
0.00078,0.32,3.28
0.000782,0.28,3.28
0.000784,0.2,3.28
0.000786,0.12,3.28
0.000788,0.04,3.28
0.00079,0,3.28
0.000792,-0.08,3.28
0.000794,-0.16,3.28
0.000796,-0.2,3.28
0.000798,-0.24,3.28
0.0008,-0.28,3.28
0.000802,-0.36,3.24
0.000804,-0.4,3.24
0.000806,-0.48,3.24
0.000808,-0.56,3.2
0.00081,-0.64,3.2
0.000812,-0.72,3.2
0.000814,-0.8,3.16
0.000816,-0.84,3.16
0.000818,-0.88,3.16
0.00082,-0.92,3.16
0.000822,-1,3.12
0.000824,-1.04,3.08
0.000826,-1.12,3.04
0.000828,-1.16,3.04
0.00083,-1.24,3
0.000832,-1.28,3
0.000834,-1.36,2.96
0.000836,-1.44,2.92
0.000838,-1.48,2.88
0.00084,-1.52,2.84
0.000842,-1.56,2.84
0.000844,-1.6,2.84
0.000846,-1.68,2.76
0.000848,-1.72,2.72
0.00085,-1.76,2.68
0.000852,-1.8,2.64
0.000854,-1.84,2.6
0.000856,-1.92,2.56
0.000858,-1.96,2.52
0.00086,-2.04,2.48
0.000862,-2.04,2.44
0.000864,-2.08,2.4
0.000866,-2.12,2.4
0.000868,-2.16,2.36
0.00087,-2.24,2.32
0.000872,-2.28,2.28
0.000874,-2.32,2.24
0.000876,-2.36,2.2
0.000878,-2.4,2.16
0.00088,-2.44,2.08
0.000882,-2.44,2.04
0.000884,-2.48,2
0.000886,-2.52,1.92
0.000888,-2.56,1.84
0.00089,-2.56,1.8
0.000892,-2.6,1.76
0.000894,-2.64,1.68
0.000896,-2.64,1.64
0.000898,-2.68,1.56
0.0009,-2.68,1.48
0.000902,-2.72,1.4
0.000904,-2.72,1.36
0.000906,-2.72,1.28
0.000908,-2.76,1.24
0.00091,-2.76,1.16
0.000912,-2.8,1.12
0.000914,-2.8,1.08
0.000916,-2.84,1
0.000918,-2.88,0.96
0.00092,-2.84,0.92
0.000922,-2.88,0.84
0.000924,-2.88,0.76
0.000926,-2.92,0.72
0.000928,-2.92,0.68
0.00093,-2.92,0.6
0.000932,-2.96,0.56
0.000934,-2.96,0.48
0.000936,-2.96,0.44
0.000938,-2.96,0.36
0.00094,-2.96,0.32
0.000942,-2.96,0.24
0.000944,-2.96,0.2
0.000946,-2.92,0.16
0.000948,-2.92,0.08
0.00095,-2.92,0
0.000952,-2.88,-0.04
0.000954,-2.88,-0.12
0.000956,-2.88,-0.16
0.000958,-2.88,-0.24
0.00096,-2.84,-0.28
0.000962,-2.84,-0.36
0.000964,-2.84,-0.44
0.000966,-2.8,-0.48
0.000968,-2.76,-0.52
0.00097,-2.76,-0.56
0.000972,-2.76,-0.6
0.000974,-2.72,-0.64
0.000976,-2.72,-0.68
0.000978,-2.72,-0.76
0.00098,-2.72,-0.84
0.000982,-2.68,-0.88
0.000984,-2.68,-0.92
0.000986,-2.64,-1
0.000988,-2.6,-1.04
0.00099,-2.56,-1.08
0.000992,-2.52,-1.12
0.000994,-2.48,-1.12
0.000996,-2.44,-1.2
0.000998,-2.4,-1.24
0.001,-2.44,-1.28
0.001002,-2.36,-1.32
0.001004,-2.36,-1.36
0.001006,-2.32,-1.36
0.001008,-2.24,-1.4
0.00101,-2.24,-1.44
0.001012,-2.16,-1.52
0.001014,-2.16,-1.52
0.001016,-2.12,-1.56
0.001018,-2.08,-1.6
0.00102,-2.04,-1.6
0.001022,-2,-1.64
0.001024,-2,-1.68
0.001026,-1.96,-1.72
0.001028,-1.92,-1.76
0.00103,-1.84,-1.76
0.001032,-1.8,-1.8
0.001034,-1.76,-1.84
0.001036,-1.68,-1.84
0.001038,-1.64,-1.92
0.00104,-1.6,-1.92
0.001042,-1.56,-1.96
0.001044,-1.52,-2
0.001046,-1.44,-2
0.001048,-1.4,-2
0.00105,-1.32,-2
0.001052,-1.28,-2.04
0.001054,-1.24,-2.04
0.001056,-1.16,-2.08
0.001058,-1.12,-2.08
0.00106,-1.12,-2.08
0.001062,-1.04,-2.12
0.001064,-1.04,-2.12
0.001066,-1,-2.12
0.001068,-0.96,-2.12
0.00107,-0.92,-2.12
0.001072,-0.84,-2.12
0.001074,-0.8,-2.12
0.001076,-0.76,-2.12
0.001078,-0.68,-2.12
